代码,名称,当前,近1月,近3月,近6月,近1年,近3年,成立来,
1523,博时新策略灵活配置混合C,--,-0.19%,1.98%,--,--,--,2.80%,
1524,华泰柏瑞精选回报混合,1.0191,-0.02%,-2.76%,-5.43%,-6.49%,--,1.94%,
1526,鑫元安鑫宝货币A,0.7935,0.26%,0.84%,1.87%,4.05%,--,6.11%,
1527,鑫元安鑫宝货币B,0.7266,0.24%,0.78%,1.75%,3.80%,10.45%,10.97%,
1528,诺安先进制造股票,1.3093,-1.21%,-9.47%,-10.21%,-4.93%,30.87%,31.00%,
1529,天弘云商宝,0.7792,0.23%,0.80%,1.74%,3.87%,10.48%,10.79%,
1530,万家瑞富灵活配置混合,0.982,0.12%,-0.09%,-1.12%,-3.01%,--,1.30%,
1531,招商安益灵活配置混合,1.0128,-4.18%,-9.99%,-9.59%,-7.52%,0.37%,1.17%,
1532,华安文体健康混合,0.8964,-4.97%,-12.29%,-18.05%,-19.37%,--,-10.10%,
1533,华泰柏瑞爱利混合,1.1232,5.75%,-0.14%,0.40%,1.70%,--,11.83%,
1534,华宝万物互联混合,0.6862,-7.65%,-16.91%,-18.19%,-17.31%,-22.17%,-31.20%,
1535,景顺长城改革机遇灵活配置混合,0.7993,-8.30%,-22.51%,-23.63%,-27.92%,-20.58%,-20.50%,
1536,南方君选,0.9526,-1.55%,-8.62%,-13.33%,-13.35%,--,7.27%,
1537,中加改革红利混合,0.7634,-4.45%,-12.02%,-22.49%,-29.46%,-19.30%,-18.40%,
1538,上投摩根科技前沿灵活配置混合,0.8902,-2.41%,-14.00%,-17.73%,-17.35%,-14.00%,-10.90%,
1539,嘉实中证金融地产ETF联接A,1.052,-0.45%,-1.03%,-14.00%,-15.85%,0.39%,5.18%,
1540,浙商汇金转型驱动,0.6231,-3.55%,-12.48%,-16.47%,-21.90%,-32.39%,-37.60%,
1541,汇添富民营新动力股票,0.6932,-7.28%,-22.14%,-26.62%,-31.24%,-29.22%,-30.00%,
1542,国泰互联网+股票,1.3211,-5.72%,-19.69%,-19.92%,-23.17%,42.19%,45.74%,
1543,宝盈新锐混合,1.0692,1.71%,-10.22%,-18.29%,-18.73%,--,7.20%,
1545,博时裕嘉纯债3个月定开债,1.0033,0.39%,1.48%,2.81%,4.27%,--,8.14%,
1546,博时裕盈3个月定开债,1.0141,0.58%,2.29%,3.39%,5.55%,11.36%,11.48%,
1547,兴业聚惠灵活配置混合A,1.1924,-0.99%,-1.97%,-3.63%,-0.58%,18.32%,19.50%,
1548,天弘上证50指数A,0.981,2.41%,-0.03%,-8.00%,-6.85%,14.69%,-2.01%,
1549,天弘上证50指数C,0.9723,2.39%,-0.08%,-8.10%,-7.07%,13.76%,-2.87%,
1550,天弘中证医药100A,0.6296,-7.08%,-22.59%,-24.51%,-19.38%,-18.14%,-37.03%,
1551,天弘中证医药100C,0.6247,-7.09%,-22.64%,-24.60%,-19.57%,-18.70%,-37.52%,
1552,天弘中证证券保险A,0.6207,-2.91%,-6.42%,-19.21%,-27.90%,-14.04%,-37.87%,
1553,天弘中证证券保险C,0.6156,-2.91%,-6.45%,-19.29%,-28.06%,-14.64%,-38.38%,
1556,天弘量化驱动股票A,0.6448,-7.67%,-16.28%,-26.08%,-18.89%,-15.45%,-35.73%,
1557,天弘量化驱动股票C,0.6384,-7.70%,-16.36%,-26.21%,-19.17%,-16.20%,-36.37%,
1558,天弘医疗健康混合A,0.707,-8.64%,-23.28%,-21.52%,-17.73%,0.81%,-28.84%,
1559,天弘医疗健康混合C,0.7003,-8.67%,-23.36%,-21.68%,-18.03%,-0.06%,-29.52%,
1562,易方达瑞和灵活配置混合,0.9396,0.76%,-3.52%,-3.02%,--,--,-6.80%,
1563,华富健康文娱灵活配置混合,0.863,-3.47%,-16.70%,-13.87%,-12.74%,-17.34%,-13.70%,
1564,东方红京东大数据混合,1.1809,-3.84%,-14.09%,-20.04%,-18.04%,18.05%,17.70%,
1566,南方利达A,1.099,0.73%,0.92%,0.27%,0.73%,9.36%,9.80%,
1567,南方利达C,1.099,0.73%,0.92%,0.27%,0.73%,9.36%,9.80%,
1569,泰信国策驱动灵活配置混合,0.553,-9.90%,-18.02%,-25.20%,-32.73%,--,-44.50%,
1570,南方利安A,1.0534,0.38%,-0.28%,-0.38%,-1.50%,--,5.20%,
1571,嘉合磐石A,1.1319,0.76%,4.79%,6.57%,10.57%,5.41%,24.17%,
1572,嘉合磐石C,1.1201,0.67%,4.49%,6.25%,10.49%,14.08%,22.98%,
1573,南方互联网+灵活配置混合,0.8117,-10.09%,-15.72%,-23.29%,--,--,-18.00%,
1574,中海混改红利混合,0.7448,-11.31%,-16.98%,-20.49%,-23.08%,--,-24.70%,
1575,兴银稳健债券,1.0201,0.52%,1.64%,2.75%,5.28%,--,6.39%,
1576,国泰智能装备股票,0.8904,-1.22%,-21.16%,-21.64%,-23.47%,--,-11.30%,
1577,嘉实低价策略股票,0.9446,-0.73%,-8.58%,-17.49%,-20.20%,-0.42%,-5.20%,
1578,博时裕瑞纯债债券,1.0966,1.76%,5.34%,6.47%,8.23%,12.87%,14.79%,
1579,国泰大农业股票,0.9714,0.62%,-7.16%,-11.14%,-6.08%,--,-2.70%,
1580,南方利安C,1.0534,0.38%,-0.28%,-0.38%,-1.50%,--,5.20%,
1581,华安沪港深通精选灵活配置混合,1.1323,-0.44%,-13.41%,-13.01%,-2.46%,--,19.78%,
1582,大成景辉灵活配置混合A,1.064,0.00%,0.38%,0.28%,1.88%,--,9.32%,
1583,安信新常态股票,1.1017,-2.72%,-8.35%,-17.56%,-12.76%,6.03%,10.80%,
1584,国投瑞银新活力定开混合A,1.129,0.30%,1.21%,2.33%,4.75%,--,12.41%,
1585,国投瑞银新活力定开混合C,1.1069,0.29%,1.17%,2.27%,4.92%,--,11.12%,
1588,天弘中证800指数A,0.7439,-2.72%,-9.68%,-18.00%,-20.06%,-10.68%,-25.63%,
1589,天弘中证800指数C,0.738,-2.74%,-9.73%,-18.10%,-20.25%,-11.32%,-26.22%,
1592,天弘创业板A,0.513,-7.73%,-20.22%,-28.24%,-31.87%,-44.35%,-48.70%,
1593,天弘创业板C,0.5077,-7.74%,-20.25%,-28.31%,-32.03%,-44.85%,-49.23%,
1594,天弘中证银行指数A,1.0424,2.57%,4.12%,-5.95%,-6.02%,14.06%,4.16%,
1595,天弘中证银行指数C,1.0335,2.55%,4.07%,-6.06%,-6.24%,13.20%,3.27%,
1596,信诚新泽A,1.0695,-0.46%,-2.98%,-4.71%,1.13%,--,7.30%,
1601,鑫元鑫新收益灵活配置混合A,0.9589,0.52%,-0.03%,-4.66%,-6.51%,-2.68%,-2.10%,
1602,鑫元鑫新收益灵活配置混合C,0.9503,0.46%,-0.23%,-5.00%,-7.10%,-4.30%,-3.91%,
1603,易方达安盈回报混合,1.0497,-1.52%,-8.69%,-15.24%,-12.82%,--,4.00%,
1604,浙商汇金转型升级灵活配置混合,0.8982,-1.43%,-8.40%,-10.51%,-17.53%,--,-10.60%,
1605,国富沪港深成长精选股票,0.9694,-3.20%,-17.21%,-19.01%,-7.90%,--,-3.30%,
1606,农银工业4.0混合,0.969,-8.04%,-19.65%,-28.55%,-26.58%,-4.91%,-3.55%,
1607,英大策略优选A,1.0433,-3.59%,-8.28%,-13.99%,-12.36%,--,4.47%,
1608,英大策略优选C,1.0029,-3.58%,-4.94%,-4.21%,-2.59%,--,0.40%,
1609,平安大华鑫享混合A,1.0929,-0.73%,-2.77%,-8.35%,-6.37%,8.70%,8.70%,
1610,平安大华鑫享混合C,1.0986,-0.64%,-2.67%,-8.31%,-6.35%,8.87%,9.20%,
1613,长城久祥保本,1.0533,5.33%,0.07%,0.34%,1.18%,2.36%,--,
1614,东方区域发展混合,0.7096,0.85%,-0.17%,-11.56%,-24.19%,--,-28.63%,
1615,中欧睿尚定期开放混合,1.0627,-1.51%,-1.79%,-2.06%,-2.61%,3.47%,4.40%,
1616,嘉实环保低碳股票,0.9339,-6.69%,-18.21%,-34.36%,-37.44%,--,-6.60%,
1617,天弘中证电子指数A,0.6676,-10.44%,-23.39%,-32.72%,-33.96%,-25.25%,-33.20%,
1618,天弘中证电子指数C,0.6619,-10.46%,-23.42%,-32.79%,-34.11%,-25.83%,-33.76%,
1620,嘉实新机遇混合发起式,1.051,1.65%,-0.94%,-6.50%,-8.70%,9.60%,5.00%,
1621,国金金腾通货币C,0.7088,0.23%,0.73%,1.54%,3.32%,8.90%,8.99%,
1622,新华鑫锐混合,1.0708,-2.69%,-3.80%,-10.66%,-6.74%,--,6.47%,
1623,兴业国企改革混合,1.0919,-0.54%,-9.91%,-12.97%,-8.64%,10.00%,10.00%,
1624,兴业添天盈货币A,0.7071,0.20%,0.76%,1.69%,3.70%,10.12%,10.24%,
1625,兴业添天盈货币B,0.7733,0.22%,0.82%,1.81%,3.95%,10.91%,11.06%,
1626,国泰央企改革股票,0.9705,-3.18%,-16.19%,-24.46%,-21.78%,-2.89%,-2.70%,
1628,招商体育文化休闲股票,0.6572,-11.22%,-21.24%,-21.71%,-24.00%,-35.42%,-35.10%,
1629,天弘中证计算机指数A,0.5129,-12.77%,-18.91%,-30.28%,-29.14%,-39.89%,-48.64%,
1630,天弘中证计算机指数C,0.509,-12.78%,-18.95%,-30.36%,-29.31%,-40.30%,-49.03%,
1631,天弘中证食品饮料指数A,1.2567,3.31%,-12.77%,-7.59%,-5.77%,40.81%,32.14%,
1632,天弘中证食品饮料指数C,1.2473,3.28%,-12.82%,-7.70%,-5.99%,39.83%,31.14%,
1633,万家瑞祥混合A,0.959,0.19%,-0.04%,-3.40%,-3.35%,--,3.82%,
1634,万家瑞祥混合C,0.9535,0.18%,-0.08%,-3.49%,-3.53%,--,3.43%,
1635,万家瑞益灵活配置混合A,1.1845,-1.02%,-1.62%,-4.92%,0.42%,--,18.36%,
1636,万家瑞益灵活配置混合C,1.1595,-1.04%,-1.67%,-5.06%,-0.23%,--,15.86%,
1637,嘉实腾讯自选股大数据策略股票,0.8052,-7.95%,-16.07%,-25.61%,-31.59%,--,-20.10%,
1638,前海开源优势蓝筹股票C,0.9984,-2.34%,-21.12%,-20.68%,-17.61%,1.01%,0.10%,
1639,嘉实新常态混合A,,,,,,,,
1640,嘉实新常态混合C,,,,,,,,
1641,富国绝对收益多策略混合,1.0761,0.65%,-1.01%,0.75%,2.57%,7.60%,7.60%,
1643,汇丰晋信智造先锋股票A,0.7879,-6.91%,-7.55%,-19.78%,-20.48%,-20.93%,-20.54%,
1644,汇丰晋信智造先锋股票C,0.7763,-6.94%,-7.65%,-19.96%,-20.89%,-22.09%,-21.72%,
1645,国泰大健康股票,1.2565,-8.20%,-21.96%,-25.63%,-21.09%,--,26.50%,
1648,工银新价值灵活配置混合,0.8245,-2.59%,-8.73%,-15.02%,-19.18%,--,-17.40%,
1649,工银工业4.0股票,0.7663,-7.00%,-15.29%,-20.54%,-24.58%,--,-23.00%,
1650,工银丰收回报灵活配置混合A,1.1053,1.01%,0.64%,-0.18%,2.79%,--,10.40%,
1651,工银新蓝筹股票,1.2018,0.00%,-7.18%,-13.02%,-7.54%,18.31%,20.20%,
1654,国联安添鑫灵活配置混合C,0.8608,-2.10%,-8.76%,-20.03%,-20.09%,-9.36%,-9.91%,
1656,农银中国优势灵活配置混合,0.8638,-5.61%,-15.53%,-19.33%,-19.28%,--,-13.49%,
1657,长安鑫富领先混合,1.3666,-1.93%,-7.31%,-4.86%,5.06%,--,37.00%,
1659,富安达新动力混合,1.0542,-1.32%,-9.36%,-19.50%,-17.24%,--,5.86%,
1660,富安达行业轮动混合,0.858,-1.59%,-7.88%,-13.50%,--,--,-13.50%,
1661,博时信用债纯债债券C,1.0361,0.78%,1.97%,2.87%,4.00%,11.89%,12.20%,
1662,创金沪港深精选混合,0.9026,-2.48%,-4.14%,-14.31%,-22.27%,-9.69%,-9.60%,
1663,中银互联网+股票,0.7878,-3.42%,-15.22%,-21.76%,-22.60%,-20.90%,-20.90%,
1664,平安大华鑫安混合A,1.036,-1.05%,-6.08%,-8.57%,-6.33%,--,3.50%,
1665,平安大华鑫安混合C,1.0251,-1.06%,-6.14%,-8.82%,-6.74%,--,2.40%,
1666,鹏华添利宝货币,0.9019,0.28%,0.96%,2.04%,4.38%,11.82%,12.67%,
1667,南方转型混合,0.6969,0.28%,-12.00%,-16.39%,-22.04%,--,-29.60%,
1668,汇添富全球互联混合,1.3431,-8.01%,-13.89%,-7.49%,-1.33%,--,33.84%,
1669,诺安聚鑫宝货币C,0.7706,0.23%,0.76%,1.66%,3.64%,9.93%,10.38%,
1670,长城新策略混合A,1.0732,0.10%,0.33%,0.68%,-1.36%,--,7.22%,
1671,长城新策略混合C,1.2717,0.06%,0.21%,1.48%,6.68%,--,27.05%,
1672,国寿安保智慧生活股票,0.8868,-3.39%,-15.08%,-23.73%,-24.82%,-4.55%,-0.06%,
1673,红塔红土优质成长A,,,,,,,,
1674,红塔红土优质成长C,,,,,,,,
1675,江信同福A,0.8213,0.69%,-9.96%,-18.22%,-21.26%,-15.29%,-14.77%,
1676,江信同福C,0.8084,0.64%,-10.09%,-18.49%,-21.96%,-16.98%,-16.52%,
1677,中银战略新兴产业股票,1.1076,1.10%,-10.07%,-13.24%,-11.37%,--,10.70%,
1678,英大国企改革主题股票,,,,,,,,
1679,前海开源中国稀缺资产混合A,0.8177,0.00%,-0.12%,-4.32%,-9.69%,-18.25%,-18.00%,
1680,九泰久利灵活配置混合,0.8126,-3.21%,-7.09%,-13.69%,-14.51%,--,-18.59%,
1681,新华积极价值灵活配置混合,0.8772,1.03%,-13.39%,-16.43%,-9.56%,--,-12.00%,
1682,新华鑫回报混合,0.7987,-6.80%,-10.47%,-23.48%,-23.19%,-12.31%,-11.87%,
1683,华夏新经济混合,0.9559,3.47%,0.32%,-13.26%,-13.81%,3.13%,-4.50%,
1685,汇添富沪港深新价值股票,1.0004,-3.75%,-19.71%,-20.98%,-21.16%,--,0.20%,
1686,安信新动力混合A,1.0218,0.17%,-2.24%,-1.23%,-0.13%,--,11.53%,
1687,安信新动力混合C,1.0173,0.14%,-2.33%,-1.41%,-0.58%,--,10.06%,
1688,嘉实新起点混合A,1.067,0.09%,-1.66%,-3.53%,-0.56%,--,6.70%,
1691,南方香港成长(QDII),0.8549,-9.93%,-20.83%,-22.97%,-25.63%,-20.20%,-20.20%,
1692,南方国策动力,0.8773,-5.69%,-13.74%,-17.39%,-20.81%,-14.90%,-9.96%,
1693,招商招利1个月期理财债券C,0.8405,0.25%,0.91%,1.97%,4.21%,11.80%,12.71%,
1694,华安沪港深外延增长混合,1.1333,-1.30%,-15.63%,-22.50%,-22.70%,--,19.73%,
1695,泓德泓业混合,0.9403,-2.28%,-11.73%,-15.07%,-11.33%,3.53%,3.84%,
1696,南方智造股票,0.8417,-2.09%,-13.07%,-15.33%,-16.50%,--,-15.50%,
1697,大成恒丰宝货币A,0.6076,0.20%,0.76%,1.73%,3.78%,10.37%,10.51%,
1698,大成恒丰宝货币B,0.6737,0.22%,0.82%,1.85%,4.03%,11.17%,11.33%,
1699,大成恒丰宝货币E,0.6073,0.20%,0.76%,1.73%,3.78%,10.43%,10.56%,
1701,中融产业升级混合,0.8083,-11.38%,-18.93%,-27.67%,-23.84%,--,-18.20%,
1702,东方创新科技混合,0.667,-8.26%,-19.22%,-28.45%,-32.95%,-34.95%,-33.95%,
1703,银华沪港深增长股票,1.2685,0.71%,-8.29%,-7.22%,-5.64%,--,35.35%,
1704,国投瑞银进宝灵活配置混合,0.8092,-2.54%,-17.63%,-25.13%,-18.17%,-16.82%,-16.66%,
1705,泓德战略转型股票,0.8127,-6.41%,-14.54%,-20.91%,-22.18%,--,-2.31%,
1706,诺安积极回报混合,1.061,0.76%,1.44%,2.32%,3.41%,--,6.00%,
1707,诺安高端制造股票,0.7677,-10.66%,-13.08%,-17.10%,-23.59%,--,-22.90%,
1708,东兴改革精选混合,0.8649,-1.59%,-8.07%,-17.76%,-15.01%,-13.40%,-13.40%,
1709,华富物联世界灵活配置混合,0.9375,-2.20%,-4.00%,-12.37%,-12.62%,--,-6.50%,
1710,安信新趋势混合A,1.0369,0.19%,0.48%,0.68%,4.32%,--,9.95%,
1711,安信新趋势混合C,1.0329,0.10%,0.39%,0.49%,3.83%,--,9.33%,
1712,东方红优势精选混合,1.176,-3.46%,-15.31%,-20.37%,-14.13%,16.95%,17.30%,
1713,华润元大中创100ETF联接,0.7071,-6.18%,-19.89%,-27.69%,-32.16%,--,-28.70%,
1714,工银文体产业股票,1.3157,-0.83%,-10.31%,-11.28%,-5.23%,--,32.20%,
1715,工银新焦点混合A,1.0279,0.20%,0.59%,-2.84%,-0.39%,--,2.70%,
1716,工银新趋势灵活配置混合A,1.0869,0.84%,-5.15%,-11.27%,-5.15%,--,8.60%,
1717,工银前沿医疗股票,1.2223,-6.26%,-24.01%,-24.25%,-10.82%,--,21.20%,
1718,工银物流产业股票,1.1188,-4.37%,-10.93%,-13.29%,-16.65%,--,11.60%,
1719,工银国家战略股票,0.796,-2.46%,-12.76%,-20.46%,-27.51%,--,-20.70%,
1720,工银新增利混合,1.0356,0.39%,0.00%,-0.48%,0.49%,--,3.50%,
1721,工银新增益混合,1.0384,0.29%,-0.29%,-2.26%,-2.72%,--,3.90%,
1722,工银银和利混合,1.0922,0.55%,-0.09%,-1.18%,0.46%,--,9.30%,
1723,华商新动力灵活配置混合,0.5055,-5.57%,-16.83%,-32.49%,-38.00%,-49.25%,-49.10%,
1724,申万菱信多策略灵活配置混合C,1.0469,0.10%,0.19%,-0.19%,0.19%,7.69%,7.80%,
1725,汇添富高端制造股票,1.1795,0.68%,-9.71%,-12.91%,-5.90%,--,18.10%,
1726,汇添富新兴消费股票,0.7913,-8.34%,-24.88%,-27.03%,-28.42%,--,-20.90%,
1727,申万菱信安鑫回报混合C,1.0675,0.10%,-0.85%,-1.01%,-2.31%,9.34%,9.13%,
1728,银华战略新兴定开混合,1.0485,-1.68%,-1.87%,-13.33%,-10.20%,-0.40%,-0.50%,
1729,银华逆向投资定开混合,1.0498,0.10%,1.85%,4.61%,6.97%,--,4.40%,
1730,兴银大健康,0.7789,-3.00%,-8.37%,-18.30%,-18.47%,-22.53%,-22.30%,
1731,广发百发大数据价值混合A,0.8612,2.49%,-11.73%,-10.64%,-15.44%,--,-13.50%,
1732,广发百发大数据价值混合E,0.8714,2.46%,-11.71%,-10.62%,-15.30%,--,-12.50%,
1733,泰达宏利量化股票,0.8059,-6.94%,-16.25%,-25.49%,-29.54%,--,-19.60%,
1734,广发百发大数据成长混合A,0.8127,0.00%,-10.98%,-16.22%,-18.57%,--,-18.90%,
1735,广发百发大数据成长混合E,0.8137,0.00%,-11.06%,-16.20%,-18.56%,--,-18.80%,
1736,圆信永丰优加生活,1.2789,-2.00%,-10.03%,-16.57%,-12.14%,--,27.40%,
1738,大摩新趋势混合,0.7903,-1.05%,-7.22%,-15.36%,--,--,-20.94%,
1739,中融融安混合,1.0129,0.60%,2.64%,2.53%,-1.94%,1.20%,1.20%,
1740,光大中国制造2025混合,0.9723,-1.51%,-10.45%,-27.56%,-25.37%,--,6.05%,
1741,广发百发大数据精选混合A,0.8874,2.90%,-11.21%,-9.86%,-16.32%,-11.30%,-11.30%,
1742,广发百发大数据精选混合E,0.8874,2.90%,-11.12%,-9.77%,-16.24%,-11.30%,-11.30%,
1743,诺安优选回报混合,1.053,0.00%,0.77%,1.74%,2.64%,--,5.10%,
1744,诺安进取回报混合,0.8838,-1.00%,-8.37%,-13.88%,-14.38%,--,-8.87%,
1745,易方达瑞富灵活配置混合I,1.0024,-0.80%,-0.90%,-5.32%,-3.86%,--,-0.40%,
1746,易方达瑞富灵活配置混合E,1.0066,-0.79%,-0.30%,-4.76%,-3.38%,--,0.00%,
1747,易方达瑞祺灵活配置混合I,0.9928,-0.30%,0.51%,-1.00%,--,--,-0.90%,
1748,易方达瑞祺灵活配置混合E,0.9908,-0.40%,0.41%,-1.10%,--,--,-1.10%,
1749,招商中国机遇股票,0.7718,-7.48%,-16.08%,-23.38%,--,--,-23.30%,
1750,景顺长城景瑞收益定开债,0.9822,0.41%,1.34%,2.19%,-5.03%,2.35%,2.76%,
1751,华商信用增强债券A,0.8501,-0.93%,-1.73%,-5.43%,-20.50%,-14.96%,-14.70%,
1752,华商信用增强债券C,0.8391,-0.94%,-1.86%,-5.71%,-20.79%,-16.05%,-15.80%,
1753,红土创新新兴产业混合,0.6947,-11.15%,-13.07%,-24.31%,-27.51%,-31.64%,-31.50%,
1754,永赢量化灵活配置混合发起式,,,,,,,,
1755,嘉实新思路混合,1.061,0.57%,0.19%,0.11%,2.70%,--,11.12%,
1756,嘉实策略优选混合,1.0219,0.69%,0.85%,0.56%,3.44%,--,11.61%,
1757,嘉实主题增强混合,1.095,-0.46%,0.00%,-0.64%,1.67%,--,9.30%,
1758,嘉实研究增强混合,0.7985,-6.42%,-16.63%,-26.35%,-33.88%,--,-19.80%,
1759,嘉实成长增强混合,0.8433,-5.24%,-20.34%,-28.15%,-24.24%,--,-15.00%,
1760,嘉实创新成长混合,0.8903,-0.23%,-10.30%,-16.59%,-21.29%,--,-12.00%,
1761,广发安宏回报混合A,1.2669,-2.46%,-1.55%,-0.24%,4.97%,--,26.80%,
1762,广发安宏回报混合C,1.2341,-2.45%,-1.59%,-0.32%,4.75%,--,23.50%,
1763,广发多策略混合,0.8107,-5.48%,-11.37%,-13.35%,-19.38%,--,-18.90%,
1764,广发沪港深新机遇股票,0.9102,0.55%,-12.89%,-18.86%,-20.12%,--,1.84%,
1765,前海开源嘉鑫混合A,1.088,1.49%,-2.77%,-5.64%,-0.18%,--,8.70%,
1766,上投摩根医疗健康股票,0.8588,-3.99%,-19.89%,-13.49%,0.35%,--,-13.40%,
1769,易方达瑞惠混合发起式,1.2782,0.87%,0.55%,-2.22%,-7.40%,20.93%,27.70%,
1770,前海开源嘉鑫混合C,1.083,1.50%,-2.79%,-5.67%,-0.46%,--,8.20%,
1771,南方量化混合,0.8827,-1.56%,-3.80%,-10.24%,-12.55%,--,-11.50%,
1772,南方消费活力,1.2301,2.85%,-1.36%,-4.43%,-3.08%,24.65%,22.90%,
1773,招商丰庆混合A,1.3392,-0.07%,-0.15%,-0.89%,1.52%,30.03%,33.80%,
1774,招商丰庆混合C,--,--,--,--,--,--,0.00%,
1775,鹏华弘泰C,1.0984,0.34%,-0.30%,0.49%,1.40%,9.64%,9.75%,
1776,中欧兴利债券,1.0313,0.69%,2.20%,3.48%,6.08%,15.69%,15.69%,
1777,德邦多元回报灵活配置混合A,0.9311,-2.57%,-5.96%,-11.67%,-13.32%,--,17.68%,
1778,德邦多元回报灵活配置混合C,0.8768,-2.62%,-6.16%,-11.11%,-14.28%,--,-3.53%,
1779,中融稳健添利债券,0.896,0.22%,0.34%,-2.08%,-2.93%,--,-10.50%,
1780,诺安改革趋势灵活配置混合,0.7881,-2.35%,-12.61%,-18.30%,-21.31%,--,-21.00%,
1781,建信现代服务业股票,0.9386,1.84%,-10.37%,-17.59%,-22.34%,--,-5.80%,
1782,九泰久益混合A,0.9823,-3.73%,1.03%,-3.63%,-1.65%,--,11.04%,
1783,兴银双月理财A,0.4453,0.13%,0.43%,1.10%,2.54%,--,2.68%,
1784,兴银双月理财B,,0.22%,0.71%,1.50%,--,--,2.57%,
1785,民生加银岁岁增利债券D,--,0.00%,1.21%,1.21%,0.00%,--,0.00%,
1786,国泰信益灵活配置混合,,,,,,,,
1789,国泰量化收益灵活配置混合,0.9417,-0.32%,-7.54%,-9.75%,-9.75%,--,0.38%,
1790,国泰智能汽车股票,0.7074,-6.09%,-26.38%,-27.28%,-33.43%,--,-29.10%,
1791,大成绝对收益策略混合A,0.9431,0.53%,-0.42%,-1.05%,-0.63%,-5.69%,-5.60%,
1792,大成绝对收益策略混合C,0.9171,0.44%,-0.65%,-1.40%,-1.40%,-8.29%,-8.20%,
1794,兴银朝阳债券,1.0541,0.76%,2.13%,3.53%,6.21%,--,10.06%,
1795,上投摩根文体休闲灵活配置混合,0.7132,-13.68%,-26.27%,-33.61%,-36.17%,--,-28.70%,
1796,汇添富安鑫智选混合A,1.0824,1.31%,-5.01%,-1.46%,1.79%,--,11.10%,
1797,华融新利灵活配置混合,0.7782,-6.37%,-18.43%,-24.88%,-25.02%,-22.26%,-22.10%,
1798,泰康新回报灵活配置混合A,0.8786,-2.05%,-16.89%,-16.84%,-16.95%,-12.02%,-11.93%,
1799,泰康新回报灵活配置混合C,0.8821,-2.08%,-16.99%,-17.00%,-17.24%,-11.68%,-11.59%,
1800,华安新乐享混合,1.1071,-0.41%,-0.14%,0.50%,8.37%,10.65%,10.65%,
1801,汇添富达欣混合A,1.0669,0.38%,-1.30%,-1.20%,0.19%,--,6.70%,
1802,易方达瑞财混合I,1.0389,0.19%,1.75%,2.23%,4.91%,--,13.18%,
1803,易方达瑞财混合E,1.0329,0.19%,1.66%,2.14%,4.73%,--,12.56%,
1806,易方达瑞智灵活配置混合I,0.9759,-0.20%,-1.22%,-4.04%,-3.56%,--,-2.50%,
1807,易方达瑞智灵活配置混合E,0.9649,-0.21%,-2.03%,-4.93%,-4.55%,--,-3.60%,
1808,银华互联网主题灵活配置混合,0.6449,-4.44%,-15.11%,-23.10%,-27.17%,--,-35.40%,
1809,中信建投智信物联网A,0.7667,-11.68%,-19.91%,-27.64%,-32.61%,--,-23.33%,
1810,中欧潜力价值灵活配置混合A,1.1132,-4.05%,-12.37%,-15.20%,-14.36%,22.20%,22.20%,
1811,中欧明睿新常态混合A,0.9581,-6.36%,-11.24%,-16.68%,-12.18%,--,8.86%,
1812,嘉实货币E,0.8002,0.25%,0.83%,1.80%,3.88%,--,8.54%,
1815,华泰柏瑞激励动力混合A,1.1188,-4.56%,-21.01%,-17.91%,-5.65%,--,16.24%,
1816,汇添富新睿精选混合A,1.085,0.93%,-0.37%,1.21%,3.72%,--,8.80%,
1817,易方达瑞兴灵活配置混合I,0.9863,-0.20%,-1.01%,-3.73%,-2.87%,--,-1.80%,
1818,易方达瑞兴灵活配置混合E,0.9833,-0.31%,-1.11%,-3.93%,-3.17%,--,-2.10%,
1819,兴全稳益定开债发起式,1.0441,0.77%,2.17%,3.97%,6.68%,20.84%,20.72%,
1820,兴全天添益货币A,0.5848,0.28%,0.89%,1.96%,4.13%,--,10.53%,
1821,兴全天添益货币B,0.6516,0.30%,0.95%,2.09%,4.38%,--,11.31%,
1822,华商智能生活灵活配置混合,0.752,-5.38%,-10.85%,-13.50%,-16.00%,--,-24.40%,
1823,光大鼎鑫混合C,0.9464,-0.63%,-3.86%,-7.98%,-6.15%,--,0.20%,
1824,博时沪港深成长企业,1.0662,-0.75%,-1.50%,-7.31%,-9.78%,--,5.20%,
1825,建信中国制造2025,0.7706,-5.25%,-16.69%,-22.57%,-24.76%,--,-22.60%,
1826,国寿安保增金宝货币,0.8385,0.27%,0.94%,1.96%,4.17%,10.91%,10.94%,
1827,富国研究优选沪港深混合,1.0601,-4.90%,-10.19%,-18.37%,-19.86%,--,4.90%,
1829,北信瑞丰中国智造,0.7512,-2.70%,-8.70%,-15.53%,-32.68%,--,-24.40%,
1830,融通跨界成长灵活配置混合,1.0441,-2.61%,-9.93%,-13.01%,-9.85%,4.30%,4.30%,
1831,融通跨界成长灵活配置混合(后端),,,,,,,,
1832,易方达瑞恒灵活配置混合,0.8204,-2.31%,-14.12%,-14.76%,--,--,-19.70%,
1834,长盛战略新兴产业混合C,1.0009,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,
1835,易方达瑞祥灵活配置混合I,0.9839,-0.71%,-0.71%,-2.58%,--,--,-1.80%,
1836,易方达瑞祥灵活配置混合E,0.9839,-0.51%,-0.61%,-2.48%,--,--,-1.80%,
