代码,名称,当前,近1月,近3月,近6月,近1年,近3年,成立来,,
347,建信安心回报两年定开债C,1.0372,0.58%,1.67%,3.24%,5.86%,11.39%,29.96%,,
351,国富恒丰定期债券A,1.0281,0.68%,2.00%,3.12%,4.16%,12.34%,35.10%,,
352,国富恒丰定期债券C,1.0261,0.68%,1.92%,2.98%,3.83%,11.10%,32.74%,,
354,长盛城镇化主题混合,0.9756,-2.20%,-11.88%,-19.16%,-29.21%,-16.42%,49.10%,,
355,南方丰元信用增强债券A,1.1582,0.87%,1.94%,3.49%,5.08%,8.66%,33.46%,,
356,南方丰元信用增强债券C,1.1402,0.80%,1.79%,3.17%,4.68%,7.37%,30.93%,,
359,易方达易理财货币,0.8567,0.26%,0.92%,1.98%,4.19%,11.58%,22.31%,,
360,信诚年年有余A,1.1092,1.37%,0.18%,-1.86%,-4.07%,0.75%,23.52%,,
361,信诚年年有余B,1.0871,1.40%,0.18%,-1.98%,-4.40%,-0.46%,21.14%,,
362,国泰聚信价值优势灵活配置A,1.0405,-2.05%,-10.09%,-16.85%,-15.11%,10.38%,93.17%,,
363,国泰聚信价值优势灵活配置C,1.0574,-2.02%,-10.18%,-17.02%,-15.51%,11.62%,96.01%,,
366,汇添富添富通货币A,0.7773,0.24%,0.66%,1.46%,3.31%,9.36%,11.74%,,
367,国泰安康定期支付混合A,1.3821,0.22%,-1.91%,-2.67%,0.14%,14.11%,38.30%,,
368,汇添富沪深300安中指数,1.3014,-1.39%,-8.55%,-14.78%,-18.28%,-3.00%,30.13%,,
369,广发全球医疗保健(QDII),1.464,-1.43%,6.69%,17.10%,10.08%,30.31%,59.76%,,
370,广发全球医疗保健美元,0.2119,-2.32%,2.24%,6.60%,4.89%,19.73%,41.84%,,
371,民生加银现金宝货币A,0.9301,0.28%,0.96%,2.03%,4.26%,10.99%,21.57%,,
372,中银惠利半年定期开放债券,1.0292,0.58%,1.76%,3.78%,5.44%,10.86%,35.76%,,
373,华安中证细分医药ETF联接A,1.1995,-7.95%,-18.79%,-19.34%,-11.30%,4.01%,19.30%,,
376,华安中证细分医药ETF联接C,1.1794,-5.45%,-20.23%,-19.41%,-11.22%,1.03%,17.90%,,
377,上投摩根双债增利债券A,0.9986,-0.20%,-2.06%,-3.29%,-5.13%,6.34%,42.38%,,
378,上投摩根双债增利债券C,0.9906,-0.10%,-2.17%,-3.23%,-5.44%,4.51%,40.20%,,
379,平安大华日增利货币,0.8452,0.24%,0.86%,1.85%,3.91%,10.40%,19.84%,,
380,景顺长城景益货币A,0.7689,0.24%,0.78%,1.69%,3.58%,9.69%,17.91%,,
381,景顺长城景益货币B,0.834,0.26%,0.84%,1.81%,3.83%,10.48%,19.29%,,
385,景顺长城景颐双利债券A,1.4876,0.61%,-0.07%,0.54%,2.19%,9.56%,49.00%,,
386,景顺长城景颐双利债券C,1.4595,0.55%,-0.20%,0.27%,1.74%,8.14%,46.10%,,
387,泰达宏利瑞利债券A,,,,,,,,,
388,泰达宏利瑞利债券B,0.9582,0.74%,1.37%,-3.23%,-4.26%,1.63%,27.88%,,
389,广发天天红货币A,0.7975,0.25%,0.83%,1.84%,4.05%,10.44%,21.12%,,
390,华商优势行业,0.8277,-5.92%,-14.93%,-17.20%,-11.71%,-2.98%,100.72%,,
394,融通通源短融债券A,1.0671,0.37%,1.22%,2.26%,4.15%,8.56%,21.89%,,
395,汇添富安心中国债券A,1.2021,0.59%,1.26%,2.47%,3.98%,8.09%,20.30%,,
396,汇添富安心中国债券C,1.2181,0.50%,1.25%,4.64%,6.01%,9.53%,21.80%,,
397,汇添富全额宝货币,0.8418,0.27%,0.93%,1.97%,4.16%,11.31%,21.08%,,
398,华富灵活配置混合,0.8673,-2.80%,-8.25%,-14.50%,-16.15%,-16.05%,6.37%,,
400,中融增鑫定期开放债券A,1.3053,0.62%,2.11%,2.75%,2.67%,8.29%,30.60%,,
401,中融增鑫定期开放债券C,1.2813,0.63%,1.99%,2.48%,2.23%,7.10%,28.20%,,
402,工银纯债债券A,1.149,0.69%,1.59%,3.06%,3.15%,5.52%,26.52%,,
403,工银纯债债券B,1.14,0.65%,1.50%,2.89%,2.72%,4.27%,24.29%,,
404,易方达新兴成长灵活配置,1.6588,-13.05%,-19.99%,-33.67%,-31.95%,-26.14%,65.30%,,
406,汇添富双利增强债券A,1.0836,-0.28%,-2.36%,-1.28%,2.37%,11.83%,34.75%,,
407,汇添富双利增强债券C,1.0886,0.74%,-2.24%,-0.73%,2.64%,11.50%,35.92%,,
408,民生加银城镇化混合,1.244,-2.65%,-12.67%,-15.96%,-16.02%,7.57%,116.68%,,
409,鹏华环保产业股票,1.3673,-5.32%,-12.52%,-17.91%,-24.18%,-5.26%,37.00%,,
410,益民服务领先混合,2.4556,-0.56%,-6.26%,-10.34%,-12.75%,6.23%,147.10%,,
411,景顺长城优质成长,0.9809,-0.30%,-8.03%,-14.79%,-12.05%,-11.44%,24.70%,,
414,嘉实绝对收益策略定期混合,1.1721,-0.09%,-0.59%,-1.84%,-1.76%,1.65%,17.20%,,
415,大摩添利18个月开放债券A,1.2002,0.92%,3.17%,3.88%,6.27%,18.62%,31.66%,,
416,大摩添利18个月开放债券C,1.1812,0.85%,3.13%,3.77%,5.90%,17.34%,29.66%,,
417,国联安新精选混合,0.8177,-10.47%,-20.02%,-31.60%,-27.36%,-20.88%,0.24%,,
418,景顺长城成长之星,1.4054,-8.44%,-22.07%,-21.05%,-18.69%,3.12%,38.80%,,
419,大摩优质信价纯债A,1.1352,0.53%,1.98%,2.87%,6.41%,16.52%,23.86%,,
420,大摩优质信价纯债C,1.1222,0.45%,1.91%,2.90%,6.20%,15.62%,22.56%,,
421,华泰柏瑞丰汇债券A,1.1509,0.52%,0.61%,1.76%,4.24%,12.27%,15.08%,,
422,华泰柏瑞丰汇债券C,1.1295,0.48%,0.52%,1.56%,3.90%,10.62%,12.94%,,
423,前海开源事件驱动混合A,1.2475,1.13%,-0.64%,-6.99%,-5.23%,17.03%,25.10%,,
424,长盛添利宝货币A,0.8435,0.20%,0.69%,1.55%,3.56%,9.49%,18.65%,,
425,长盛添利宝货币B,0.9083,0.22%,0.75%,1.67%,3.81%,10.28%,20.01%,,
426,大成信用增利一年定开债券A,1.0926,0.46%,0.92%,-0.82%,1.11%,7.79%,29.67%,,
427,大成信用增利一年定开债券C,1.0776,0.37%,0.75%,-1.01%,0.75%,6.25%,26.87%,,
428,易方达聚盈分级债券发起式,1.0492,0.50%,1.70%,2.84%,6.56%,12.86%,33.49%,,
429,易方达聚盈分级债券发起式A,,,,,,,,,
430,易方达聚盈分级债券发起式B,1.0871,0.65%,2.61%,3.85%,8.87%,15.20%,54.93%,,
431,鹏华品牌传承混合,1.1611,-1.36%,-20.86%,-20.10%,-13.53%,7.93%,25.14%,,
432,中银优秀企业混合,1.3623,-3.47%,-15.13%,-11.09%,-14.06%,-0.66%,36.30%,,
433,安信鑫发优选混合,0.974,-4.81%,-10.11%,-18.23%,-25.58%,-4.91%,-3.10%,,
434,新华壹诺宝货币A,0.7406,0.22%,0.73%,1.65%,3.68%,9.91%,18.11%,,
435,建信稳定添利债券A,1.0511,-0.47%,-1.86%,-2.86%,-5.39%,1.32%,40.70%,,
436,易方达裕惠定开混合发起式,1.7055,0.29%,2.10%,1.31%,3.97%,21.02%,80.81%,,
437,融通月月添利定开债A,1.0352,0.58%,1.87%,2.99%,5.08%,5.45%,17.75%,,
438,融通月月添利定开债B,1.0282,0.49%,1.68%,2.70%,4.68%,4.34%,16.08%,,
439,国金鑫盈货币,0.5246,0.11%,0.25%,0.76%,2.31%,8.71%,17.39%,,
452,南方医药保健灵活配置混合,1.4691,-2.01%,-11.49%,-10.57%,-5.85%,9.58%,74.48%,,
457,上投摩根核心成长,1.2603,-11.76%,-23.87%,-38.05%,-40.51%,-5.12%,47.16%,,
458,英大领先回报发起式,0.8178,-0.45%,-3.45%,-9.66%,-10.91%,16.39%,42.78%,,
459,英大领先回报发起式(后端),,,,,,,,,
462,农银主题轮动混合,0.8439,-8.33%,-26.10%,-34.65%,-34.17%,-18.87%,-15.44%,,
463,华商双债丰利债券A,0.8711,0.46%,1.04%,-26.62%,-31.74%,-22.59%,20.79%,,
464,嘉实活期宝货币,0.8588,0.26%,0.89%,1.91%,4.05%,11.03%,21.27%,,
465,景顺长城鑫月薪定期支付债券,1.0042,0.40%,1.23%,2.63%,2.94%,10.76%,24.95%,,
466,融通通瑞债券A/B,1.0685,0.09%,-0.37%,-1.56%,0.09%,3.18%,14.99%,,
469,富国目标齐利一年期纯债债券,1.0952,0.74%,2.53%,3.50%,6.00%,13.35%,24.42%,,
470,富国目标齐利一年期纯债债券(后端),,,,,,,,,
471,富国城镇发展股票,1.0281,-7.88%,-16.43%,-34.77%,-48.14%,-41.67%,27.63%,,
472,富国城镇发展股票(后端),,,,,,,,,
473,广发集鑫债券A,,,,,,,,,
474,广发集鑫债券C,,,,,,,,,
475,广发天天利货币A,0.7311,0.23%,0.79%,1.80%,3.98%,10.53%,17.98%,,
476,广发天天利货币B,0.7971,0.25%,0.86%,1.92%,4.23%,11.33%,19.30%,,
477,广发主题领先混合,1.2685,-8.05%,-18.87%,-27.58%,-29.24%,-22.87%,26.80%,,
478,建信中证500指数增强A,1.6501,-7.73%,-17.77%,-28.04%,-34.26%,-10.12%,65.48%,,
480,东方红新动力混合,2.0622,-3.79%,-13.98%,-19.60%,-17.47%,15.91%,118.76%,,
481,华商双债丰利债券C,0.8641,0.46%,1.05%,-26.69%,-32.10%,-23.81%,17.29%,,
483,鑫元货币A,0.8108,0.24%,0.70%,1.59%,3.54%,9.98%,18.64%,,
484,鑫元货币B,0.876,0.26%,0.76%,1.72%,3.79%,10.77%,20.01%,,
485,嘉实1个月理财债券A,,0.29%,0.29%,0.29%,1.12%,--,2.33%,,
486,嘉实1个月理财债券E,,0.31%,0.31%,0.31%,1.17%,2.44%,3.11%,,
487,嘉实3个月理财债券A,,0.37%,1.17%,1.17%,2.26%,2.26%,3.33%,,
488,嘉实3个月理财债券E,,0.38%,1.23%,1.23%,2.60%,4.40%,5.56%,,
489,光大岁末红利纯债A,1.0697,0.32%,1.50%,2.45%,4.74%,9.59%,19.62%,,
490,光大岁末红利纯债C,1.0663,0.29%,1.43%,2.29%,4.37%,8.15%,17.48%,,
493,南方现金通货币A,0.8766,0.27%,0.93%,1.99%,4.23%,11.47%,20.52%,,
494,南方现金通货币B,0.8916,0.28%,0.95%,2.02%,4.28%,11.64%,20.81%,,
495,南方现金通货币C,0.9031,0.28%,0.96%,2.05%,4.35%,11.86%,21.19%,,
496,长安产业精选混合A,1.0246,-3.27%,-13.22%,-13.43%,-10.94%,8.48%,28.25%,,
497,财通纯债债券A,1.0604,0.58%,1.88%,3.00%,5.52%,9.71%,9.71%,,
501,华富恒富18个月定开债C,1.0494,0.68%,2.21%,3.07%,5.61%,11.66%,20.10%,,
502,华富恒富18个月定开债A,1.054,0.72%,2.32%,3.29%,6.18%,12.91%,33.78%,,
503,中信建投稳信一年A,1.0473,-0.93%,0.26%,0.47%,0.67%,8.28%,21.93%,,
504,中信建投稳信一年C,1.026,-0.97%,0.15%,0.27%,0.28%,6.99%,19.60%,,
505,国寿安保货币A,0.6586,0.21%,0.67%,1.52%,3.43%,9.58%,18.07%,,
506,国寿安保货币B,0.7246,0.23%,0.73%,1.64%,3.68%,10.37%,19.42%,,
507,泰达宏利宏达混合A,1.186,0.94%,1.37%,0.51%,3.22%,19.39%,39.92%,,
508,泰达宏利宏达混合B,1.1529,0.96%,1.32%,0.35%,2.86%,17.45%,36.47%,,
509,广发钱袋子货币A,0.7203,0.23%,0.82%,1.82%,3.94%,10.99%,20.11%,,
510,诺安永鑫收益一年定开债券,1.0041,0.50%,1.30%,2.69%,4.13%,8.66%,21.91%,,
511,国泰国策驱动灵活配置混合A,1.2718,-4.64%,-16.19%,-23.27%,-23.36%,-8.81%,27.30%,,
512,国泰结构转型灵活配置混合A,1.6345,-2.37%,-7.35%,-15.55%,-13.65%,13.63%,65.10%,,
513,富国高端制造行业股票,1.2766,-7.21%,-13.75%,-25.43%,-24.04%,-4.11%,26.10%,,
514,富国高端制造行业股票(后端),,,,,,,,,
516,富国祥利一年期定期开放债券型A,1.0198,0.93%,2.78%,3.66%,5.75%,--,6.02%,,
517,富国祥利一年期定期开放债券型C,1.0151,0.89%,2.67%,3.44%,5.32%,--,5.55%,,
520,上银新兴价值成长混合,0.9118,-2.05%,-11.87%,-14.61%,-13.95%,15.82%,64.59%,,
521,诺安瑞鑫定开债券,1.0419,0.49%,1.34%,2.67%,--,--,4.30%,,
522,华润元大信息传媒科技混合,1.0591,-11.54%,-19.05%,-30.49%,-33.88%,-36.87%,5.80%,,
523,国投瑞银医疗保健混合,1.011,-10.98%,-21.56%,-26.80%,-17.53%,2.96%,42.83%,,
524,上投摩根民生需求,1.1435,-9.13%,-20.89%,-29.90%,-34.22%,-29.53%,43.05%,,
526,国泰浓益灵活配置混合A,1.2206,-4.22%,-11.09%,-17.54%,-14.79%,-1.76%,22.70%,,
527,南方新优享,2.1742,-1.85%,-13.28%,-11.12%,-7.73%,40.35%,117.40%,,
528,工银薪金货币A,0.9452,0.28%,0.94%,1.96%,4.11%,10.15%,17.81%,,
529,广发竞争优势混合,1.4136,-2.42%,-15.54%,-21.28%,-20.17%,-0.56%,41.30%,,
530,招商丰盛稳定增长混合A,1.1166,-1.94%,-5.53%,-8.87%,-8.87%,-4.80%,11.00%,,
531,东吴阿尔法灵活配置混合,1.0311,-7.85%,-18.87%,-28.62%,-15.66%,-11.44%,4.50%,,
532,景顺长城优势企业混合,1.5743,-1.07%,-17.84%,-14.59%,-5.69%,14.88%,57.50%,,
533,永赢货币,0.8898,0.28%,0.93%,1.97%,4.15%,10.91%,18.21%,,
534,长盛高端装备制造灵活配置,1.2661,-6.26%,-12.53%,-19.01%,-23.77%,-16.92%,25.70%,,
535,长盛航天海工装备灵活配置,0.8625,-4.01%,-5.90%,-12.85%,-21.58%,-13.31%,32.23%,,
536,前海开源可转债债券,0.7497,-0.40%,-3.72%,-10.27%,-12.16%,-7.74%,7.22%,,
538,诺安优势行业混合A,1.2544,0.00%,-1.87%,-4.11%,-5.05%,-0.08%,25.90%,,
539,中银活期宝货币,0.8133,0.25%,0.87%,1.89%,4.06%,10.69%,19.17%,,
540,国金金腾通货币A,0.9166,0.29%,0.92%,1.92%,4.10%,11.36%,20.72%,,
541,华商创新成长混合发起式,0.8646,-6.90%,-15.63%,-22.51%,-34.64%,-48.22%,5.21%,,
542,上银慧财宝货币A,0.7378,0.23%,0.76%,1.73%,3.75%,9.51%,17.45%,,
543,上银慧财宝货币B,0.8037,0.25%,0.82%,1.86%,4.00%,10.30%,18.75%,,
545,中邮核心竞争力灵活配置混合,0.9941,-4.40%,-12.74%,-21.94%,-33.33%,-46.75%,0.00%,,
546,兴业定开债券A,1.1516,0.26%,1.86%,2.49%,3.70%,11.97%,34.02%,,
547,建信健康民生混合,1.7816,-4.91%,-12.81%,-16.37%,-23.74%,-3.57%,78.30%,,
548,鹏华聚财通货币,0.5961,0.19%,0.69%,1.67%,3.83%,--,5.57%,,
549,华安大国新经济股票,1.3106,-10.29%,-17.94%,-27.63%,-31.63%,-12.94%,29.90%,,
550,广发新动力混合,1.5761,-4.24%,-16.22%,-22.27%,-33.12%,-30.14%,58.10%,,
551,信诚幸福消费混合,1.4039,-2.36%,-19.43%,-28.19%,-29.38%,-14.99%,40.60%,,
552,中加纯债一年A,1.0832,0.74%,3.08%,4.00%,5.82%,18.48%,43.26%,,
553,中加纯债一年C,1.0832,0.74%,2.99%,3.72%,5.44%,17.21%,40.88%,,
554,中国梦基金,1.2347,-3.13%,-17.20%,-22.74%,-22.15%,-11.64%,23.70%,,
556,国投瑞银新机遇灵活配置混合A,1.2016,-2.45%,-8.50%,-10.82%,-6.79%,3.02%,37.26%,,
557,国投瑞银新机遇灵活配置混合C,1.1743,-2.83%,-7.60%,-11.12%,-7.30%,1.50%,33.99%,,
559,诺安天天宝A,0.7101,0.22%,0.77%,1.75%,3.81%,9.83%,15.94%,,
560,诺安天天宝E,0.7467,0.23%,0.81%,1.86%,4.07%,10.43%,16.84%,,
561,南方启元A,1.1322,0.53%,2.63%,3.95%,4.33%,8.01%,16.54%,,
562,南方启元C,1.1142,0.54%,2.58%,3.72%,4.21%,7.00%,14.81%,,
563,南方通利A,1.0912,0.74%,2.92%,4.40%,5.92%,12.34%,33.92%,,
564,南方通利C,1.0842,0.74%,2.85%,4.13%,5.55%,11.50%,33.04%,,
566,华泰柏瑞创新升级混合,1.9553,-0.41%,-9.94%,-8.23%,-4.30%,21.78%,125.66%,,
567,广发聚祥灵活混合,1.524,-3.06%,-8.87%,-13.38%,-14.55%,-5.35%,52.10%,,
569,鹏华增值宝货币,1.1435,0.26%,0.91%,1.88%,3.97%,10.79%,18.85%,,
571,中邮双动力混合,1.3602,0.22%,0.15%,-0.07%,-10.53%,-11.46%,36.00%,,
572,中银多策略混合,1.0496,0.57%,-0.88%,-0.53%,2.32%,13.58%,47.09%,,
573,天弘通利混合,1.2011,0.08%,-0.25%,-0.99%,1.09%,12.56%,28.40%,,
574,宝盈新价值混合,1.0323,2.05%,-7.04%,-19.89%,-26.55%,-18.96%,56.94%,,
575,兴全添利宝货币,0.9023,0.27%,0.90%,1.94%,4.12%,11.11%,19.64%,,
576,中邮货币A,0.5686,0.19%,0.60%,1.47%,3.48%,9.76%,15.12%,,
577,安信价值精选股票,2.3036,-1.20%,-14.70%,-20.90%,-17.36%,32.55%,130.90%,,
578,鑫元恒鑫收益增强A,0.8433,-2.76%,-5.25%,-6.82%,-9.35%,-6.89%,-8.95%,,
579,鑫元恒鑫收益增强C,0.8291,-2.78%,-5.34%,-7.01%,-9.71%,-7.84%,-10.46%,,
580,中邮货币B,0.6341,0.21%,0.66%,1.60%,3.74%,10.56%,15.89%,,
581,嘉实活钱包货币A,0.8215,0.27%,0.88%,1.93%,4.11%,10.93%,18.95%,,
583,江信聚福,1.0151,0.44%,1.83%,2.29%,1.70%,5.84%,35.19%,,
584,新华鑫益灵活配置混合,1.8723,-2.22%,-3.85%,-11.44%,-4.39%,17.61%,85.00%,,
585,嘉实对冲套利定期混合,1.0651,-0.09%,-0.93%,-1.93%,-1.30%,1.24%,6.50%,,
586,景顺中小板创业板精选股票,1.1918,-6.27%,-18.21%,-24.18%,-27.36%,-18.15%,19.50%,,
587,大成灵活配置混合,1.455,-1.49%,-11.86%,-20.61%,-22.68%,2.09%,81.00%,,
588,招商招钱宝货币A,0.8384,0.26%,0.90%,1.94%,4.11%,11.09%,18.67%,,
589,光大银发商机混合,1.1995,-3.86%,-13.64%,-21.56%,-22.87%,-13.07%,49.10%,,
590,华安新活力混合,1.4139,-0.63%,-1.19%,-1.67%,2.24%,14.05%,41.20%,,
591,中银健康生活混合,1.3533,0.00%,-1.24%,-5.57%,-9.18%,-9.30%,35.60%,,
592,建信改革红利股票,1.7014,-1.27%,-13.40%,-18.66%,-24.04%,-0.41%,71.30%,,
593,易方达标普消费品指数美元现汇A,0.2524,-7.18%,-11.17%,-11.60%,-1.55%,17.88%,8.62%,,
594,大摩进取优选股票,1.3746,-2.96%,-16.88%,-19.17%,-17.97%,-13.60%,37.90%,,
595,嘉实泰和混合,1.849,-6.05%,-16.73%,-22.07%,-18.63%,0.65%,84.70%,,
596,前海开源中证军工指数A,1.0297,-10.50%,-9.96%,-23.86%,-32.08%,-42.43%,3.10%,,
597,中海积极收益混合,1.1591,0.60%,1.10%,1.59%,4.85%,19.14%,31.18%,,
598,长盛生态环境混合,1.4386,-2.90%,-8.57%,-9.14%,-8.97%,-6.18%,44.10%,,
599,信诚薪金宝货币,0.8391,0.27%,0.93%,1.98%,4.16%,10.61%,17.04%,,
600,汇添富和聚宝货币,0.8731,0.27%,0.89%,1.94%,4.15%,11.61%,18.42%,,
601,华宝创新优选混合,0.7499,-8.39%,-17.52%,-24.09%,-28.29%,-18.77%,-9.39%,,
602,富国安益货币,0.767,0.24%,0.77%,1.73%,3.90%,9.87%,14.20%,,
603,易方达创新驱动灵活配置混合,0.7257,-4.56%,-17.50%,-22.69%,-27.12%,-31.14%,-28.80%,,
604,银华多利宝货币A,0.7681,0.23%,0.85%,1.84%,4.01%,10.96%,17.02%,,
605,银华多利宝货币B,0.8342,0.25%,0.91%,1.96%,4.27%,11.76%,18.21%,,
606,天弘优选债券,1.0562,0.71%,1.68%,2.99%,5.56%,--,5.62%,,
607,招商招钱宝货币B,0.8379,0.26%,0.90%,1.94%,4.11%,11.09%,18.09%,,
609,华商新量化灵活配置混合,0.9281,-6.57%,-17.28%,-21.83%,-21.75%,-8.70%,36.77%,,
612,华宝生态中国混合,1.4154,-10.21%,-21.41%,-29.54%,-31.77%,-17.21%,52.88%,,
613,国寿安保沪深300ETF联接,0.8625,-1.16%,-8.18%,-16.90%,-17.78%,-3.25%,45.27%,,
614,华安德国30(DAX)联接,--,-3.30%,-5.43%,-5.43%,-10.87%,16.63%,11.50%,,
615,长城工资宝货币A,0.6979,0.22%,0.73%,1.69%,3.85%,9.69%,15.57%,,
616,上投摩根优信增利债券A,1.3307,-0.23%,-0.67%,-3.91%,-2.64%,-1.70%,32.80%,,
617,上投摩根优信增利债券C,1.3077,-0.15%,-1.06%,-3.90%,-3.05%,-3.26%,30.50%,,
618,嘉实薪金宝货币,0.7928,0.25%,0.90%,1.91%,4.01%,10.65%,17.53%,,
619,东方红产业升级混合,2.6737,-3.90%,-16.91%,-21.21%,-13.28%,38.53%,166.40%,,
620,易方达现金增利货币A,0.9011,0.27%,0.92%,1.99%,4.25%,11.76%,14.26%,,
621,易方达现金增利货币B,0.9667,0.29%,0.98%,2.11%,4.50%,12.57%,15.27%,,
623,华富恒财定开债C,1.0176,0.01%,1.56%,2.39%,3.92%,11.10%,20.78%,,
624,华富恒财定开债A,1.029,0.04%,2.69%,3.92%,7.10%,14.88%,33.26%,,
625,诺安天天宝B,0.7521,0.24%,0.81%,1.83%,3.97%,10.95%,17.92%,,
626,大成丰财宝货币A,0.6438,0.22%,0.71%,1.64%,3.71%,10.21%,15.89%,,
627,大成丰财宝货币B,0.7096,0.24%,0.77%,1.76%,3.96%,11.01%,17.09%,,
628,大成高新技术产业股票,1.4003,-0.14%,-10.61%,-11.68%,-8.08%,43.63%,39.90%,,
629,圆信永丰纯债A,1.1153,1.92%,3.62%,3.91%,5.09%,12.23%,31.20%,,
630,圆信永丰纯债C,1.1043,1.85%,3.47%,3.66%,4.64%,10.61%,28.75%,,
632,中银聚利半年定开债,1.0019,0.44%,1.37%,-0.30%,0.58%,8.77%,15.82%,,
634,富国天盛灵活配置基金,0.9788,-3.30%,-4.92%,-15.39%,-6.56%,11.60%,62.06%,,
635,富国天盛灵活配置基金(后端),,,,,,,,,
638,富国富钱包货币,0.8684,0.27%,0.93%,2.01%,4.26%,11.32%,18.61%,,
639,宝盈祥瑞混合,1.157,0.34%,1.48%,0.43%,0.03%,5.07%,51.54%,,
640,诺安理财宝货币A,0.8627,0.26%,0.90%,1.95%,4.07%,10.59%,17.18%,,
641,诺安理财宝货币B,0.8639,0.26%,0.90%,1.95%,4.07%,10.60%,17.26%,,
642,汇添富货币C,0.7861,0.25%,0.84%,1.84%,3.85%,9.87%,15.42%,,
644,招商招金宝货币A,0.604,0.18%,0.61%,1.45%,3.27%,9.61%,14.67%,,
645,华夏薪金宝货币,0.796,0.26%,0.81%,1.90%,4.07%,10.98%,17.51%,,
646,华润元大医疗保健量化混合,1.0884,-6.70%,-23.63%,-22.98%,-16.01%,-13.33%,8.60%,,
647,易方达财富快线货币A,0.8321,0.25%,0.90%,1.93%,4.07%,11.27%,17.28%,,
648,易方达财富快线货币B,0.8984,0.27%,0.96%,2.06%,4.32%,12.07%,18.50%,,
649,长城久鑫灵活配置,1.0219,-0.43%,-2.25%,-1.86%,-0.82%,1.25%,25.07%,,
650,汇添富货币D,0.7898,0.25%,0.84%,1.84%,3.85%,9.87%,15.42%,,
651,招商招金宝货币B,0.6702,0.20%,0.67%,1.57%,3.52%,10.40%,15.85%,,
652,博时裕隆混合,1.7858,-3.88%,-10.02%,-17.59%,-12.21%,19.23%,76.94%,,
654,华商新锐产业混合,0.9062,-3.40%,-8.00%,-13.26%,-24.63%,-32.72%,-7.45%,,
655,鑫元稳利债券,1.0968,0.37%,0.82%,1.79%,1.74%,10.61%,25.43%,,
656,前海开源沪深300指数,1.07,-0.84%,-1.75%,-11.88%,-12.60%,4.10%,34.70%,,
657,银华活钱宝货币A,,0.00%,0.00%,0.00%,0.00%,0.60%,1.71%,,
658,银华活钱宝货币B,,0.00%,0.00%,0.00%,0.00%,0.68%,1.77%,,
659,银华活钱宝货币C,,0.00%,0.00%,0.00%,0.00%,0.88%,2.03%,,
660,银华活钱宝货币D,,0.00%,0.00%,0.00%,0.00%,1.60%,2.61%,,
661,银华活钱宝货币E,,0.00%,0.00%,0.00%,0.00%,2.75%,3.09%,,
662,银华活钱宝货币F,0.8172,0.27%,0.97%,2.06%,4.37%,11.77%,15.38%,,
663,国投瑞银美丽中国混合,1.1761,-5.51%,-10.99%,-17.89%,-17.93%,-24.12%,52.87%,,
664,国联安通盈混合A,1.2317,0.86%,-1.43%,-2.44%,-1.67%,9.47%,30.04%,,
665,博时现金收益货币B,0.7668,0.24%,0.83%,1.86%,4.01%,10.48%,16.90%,,
667,工银绝对收益混合发起A,1.0851,-0.82%,-2.07%,-1.62%,-2.42%,-2.15%,9.00%,,
668,国寿安保尊享债券A,1.2772,0.63%,1.91%,2.41%,3.97%,12.36%,36.51%,,
669,国寿安保尊享债券C,1.2642,0.64%,1.77%,2.27%,3.76%,11.28%,35.20%,,
672,工银绝对收益混合发起B,1.0411,-0.85%,-2.25%,-2.06%,-3.24%,-4.48%,4.50%,,
674,中海惠祥分级债券,1.0026,0.22%,7.70%,12.28%,12.28%,5.44%,10.27%,,
675,中海惠祥分级债券A,,,,,,,,,
676,中海惠祥分级债券B,1.0033,0.28%,7.77%,12.48%,12.48%,8.63%,20.80%,,
677,工银现金货币,0.8539,0.27%,0.91%,1.93%,4.07%,10.91%,15.42%,,
678,华宝现金宝货币E,0.7992,0.25%,0.86%,1.88%,4.08%,10.83%,16.55%,,
679,招商丰利灵活配置混合A,1.0444,-2.62%,-7.40%,-12.98%,-12.69%,-9.02%,3.90%,,
681,信达澳银慧管家A,0.7802,0.20%,0.62%,1.46%,3.43%,10.32%,16.14%,,
682,信达澳银慧管家C,0.8499,0.22%,0.68%,1.58%,3.68%,11.11%,17.30%,,
683,信达澳银慧管家E,0.7006,0.18%,0.56%,1.33%,3.14%,9.38%,14.73%,,
684,长盛养老健康产业灵活配置混合,1.2175,-1.85%,-4.77%,-5.81%,-8.70%,-9.65%,21.70%,,
685,上投摩根现金管理货币,3.398,1.47%,2.34%,2.98%,4.50%,9.13%,12.42%,,
686,建信嘉薪宝货币A,0.8826,0.29%,0.96%,2.00%,4.24%,11.03%,17.42%,,
687,南方薪金宝,0.7735,0.24%,0.90%,1.94%,4.10%,11.05%,16.51%,,
688,景顺长城研究精选股票,1.2582,-3.15%,-11.58%,-17.92%,-15.49%,-1.56%,28.38%,,
689,前海开源新经济混合,0.8868,-2.21%,-2.32%,-11.23%,-21.12%,-21.56%,-2.74%,,
690,前海开源大海洋混合,0.8077,-7.95%,-8.06%,-13.00%,-22.41%,-37.88%,-19.00%,,
692,汇添富双利债券C,1.3447,0.45%,-3.24%,-4.76%,-3.31%,5.01%,34.20%,,
693,建信现金添利货币A,0.82,0.27%,0.87%,1.89%,4.06%,10.73%,15.47%,,
694,鑫元鸿利债券,1.2592,0.70%,2.37%,4.03%,4.95%,11.54%,25.93%,,
